datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2024.10.02,00:00,23.59,Hirsch,766,854,1620,6.4,14.9,0.5,70,3.1
2024.10.03,00:00,23.59,Hirsch,326,313,639,4.6,11.2,3.7,80,0
2024.10.04,00:00,23.59,Hirsch,255,279,534,7.5,10,8.3,98,0
2024.10.05,00:00,23.59,Hirsch,162,209,371,6.5,10.1,3,94,0.1
2024.10.06,00:00,23.59,Hirsch,518,498,1016,7.3,14.6,2.2,88,6.1
2024.10.07,00:00,23.59,Hirsch,1152,1165,2317,9.7,23.3,0,66,8
2024.10.08,00:00,23.59,Hirsch,1065,1148,2213,10.7,20.3,12.2,93,3.9
2024.10.09,00:00,23.59,Hirsch,1198,1216,2414,9.6,21.3,0,60,9
2024.10.10,00:00,23.59,Hirsch,634,671,1305,10.7,17.7,4.2,94,0.2
2024.10.11,00:00,23.59,Hirsch,696,736,1432,6.3,12.5,0.4,80,1.1
2024.10.12,00:00,23.59,Hirsch,499,490,989,4.9,15.2,0,73,4
2024.10.13,00:00,23.59,Hirsch,254,245,499,8,15.5,1.5,95,0.7
2024.10.14,00:00,23.59,Hirsch,1000,1039,2039,6.5,18.3,2.1,86,2.1
2024.10.15,00:00,23.59,Hirsch,1094,1103,2197,10.7,14.7,0,99,0
2024.10.16,00:00,23.59,Hirsch,1173,1168,2341,9.2,17.2,0,98,2.7
2024.10.17,00:00,23.59,Hirsch,1288,1282,2570,8.2,21.5,0,79,9.4
2024.10.18,00:00,23.59,Hirsch,812,880,1692,9,15.2,0.4,88,1.7
2024.10.19,00:00,23.59,Hirsch,562,582,1144,8.8,18.4,0,95,5
2024.10.20,00:00,23.59,Hirsch,458,422,880,10.5,14.9,0,99,0
2024.10.21,00:00,23.59,Hirsch,1280,1288,2568,9.9,18.6,0,85,9.7
2024.10.22,00:00,23.59,Hirsch,1213,1230,2443,8.9,19.8,2.1,89,1.2
2024.10.23,00:00,23.59,Hirsch,740,775,1515,10.6,12.8,5.5,99,0
2024.10.24,00:00,23.59,Hirsch,1020,1062,2082,10.3,13,0,100,0
2024.10.25,00:00,23.59,Hirsch,845,867,1712,10.2,14.2,0,100,1
2024.10.26,00:00,23.59,Hirsch,438,426,864,9.2,12,0,100,0
2024.10.27,00:00,23.59,Hirsch,469,430,899,9.2,14.6,0,88,5
2024.10.28,00:00,23.59,Hirsch,934,963,1897,8.1,15.3,0,65,6
2024.10.29,00:00,23.59,Hirsch,1041,1098,2139,7.2,17.2,0.1,58,9.1
2024.10.30,00:00,23.59,Hirsch,912,962,1874,8.3,15.4,0,83,4.6
2024.10.31,00:00,23.59,Hirsch,751,772,1523,9.8,11.5,0,100,0
2024.11.01,00:00,23.59,Arnulf,720,55,775,5.8,17,0.1,54,7.5
2024.11.02,00:00,23.59,Arnulf,669,48,717,5.7,9.1,0.1,99,0
2024.11.03,00:00,23.59,Arnulf,495,48,543,7.1,8.7,0,100,0
2024.11.04,00:00,23.59,Arnulf,1223,87,1310,3.9,9.2,0,88,1.3
2024.11.05,00:00,23.59,Arnulf,1328,74,1402,3.2,10.8,0,100,3.8
2024.11.06,00:00,23.59,Arnulf,1287,71,1358,2.7,8.6,0.1,83,2.9
2024.11.07,00:00,23.59,Arnulf,1247,84,1331,5.4,7.2,0.1,100,0
2024.11.08,00:00,23.59,Arnulf,1010,66,1076,3.8,6,0,100,0
2024.11.09,00:00,23.59,Arnulf,698,46,744,3.3,7.5,0,99,2.1
2024.11.10,00:00,23.59,Arnulf,528,41,569,2.5,5.1,0,100,0
2024.11.11,00:00,23.59,Arnulf,1116,81,1197,1.5,5.3,0,100,0.2
2024.11.12,00:00,23.59,Arnulf,1131,91,1222,1.7,4.1,0,100,0
2024.11.13,00:00,23.59,Arnulf,1069,81,1150,0.5,2.2,0.6,98,0
2024.11.14,00:00,23.59,Arnulf,1167,82,1249,0.9,6.6,0.3,86,4.2
2024.11.15,00:00,23.59,Arnulf,980,70,1050,0.3,6.9,0,79,0.1
2024.11.16,00:00,23.59,Arnulf,650,27,677,-1.4,11.1,0,25,8.9
2024.11.17,00:00,23.59,Arnulf,430,32,462,-1.2,9.7,4.5,91,3.8
2024.11.18,00:00,23.59,Arnulf,1014,81,1095,3.8,9.9,0.8,93,2.7
2024.11.19,00:00,23.59,Arnulf,1033,74,1107,6.5,12.5,12.9,98,1
2024.11.20,00:00,23.59,Arnulf,727,60,787,0.4,9.7,2.3,75,5
2024.11.21,00:00,23.59,Arnulf,889,56,945,-1.2,3.7,6.3,95,1.2
2024.11.22,00:00,23.59,Arnulf,352,28,380,-2.2,1.4,0.2,78,5.5
2024.11.23,00:00,23.59,Arnulf,371,15,386,0.7,6.3,0,93,5.6
2024.11.24,00:00,23.59,Arnulf,492,29,521,3.1,15.4,0.1,84,4.7
2024.11.25,00:00,23.59,Arnulf,1218,82,1300,2,16.5,2.3,36,8.2
2024.11.26,00:00,23.59,Arnulf,1153,92,1245,5.5,11.2,0,88,2.4
2024.11.27,00:00,23.59,Arnulf,1290,93,1383,3.2,12.2,3.8,83,4.8
2024.11.28,00:00,23.59,Arnulf,722,55,777,3.7,11.7,5.5,95,0
2024.11.29,00:00,23.59,Arnulf,918,69,987,-0.2,6.2,0,58,2.3
2024.11.30,00:00,23.59,Arnulf,571,38,609,-2,5.5,0,10,6.7
2024.11.01,00:00,23.59,Olympia,957,891,1848,5.8,17,0.1,54,7.5
2024.11.02,00:00,23.59,Olympia,543,541,1084,5.7,9.1,0.1,99,0
2024.11.03,00:00,23.59,Olympia,544,518,1062,7.1,8.7,0,100,0
2024.11.04,00:00,23.59,Olympia,1192,1241,2433,3.9,9.2,0,88,1.3
2024.11.05,00:00,23.59,Olympia,1227,1293,2520,3.2,10.8,0,100,3.8
2024.11.06,00:00,23.59,Olympia,1151,1202,2353,2.7,8.6,0.1,83,2.9
2024.11.07,00:00,23.59,Olympia,1136,1150,2286,5.4,7.2,0.1,100,0
2024.11.08,00:00,23.59,Olympia,918,908,1826,3.8,6,0,100,0
2024.11.09,00:00,23.59,Olympia,775,840,1615,3.3,7.5,0,99,2.1
2024.11.10,00:00,23.59,Olympia,504,526,1030,2.5,5.1,0,100,0
2024.11.11,00:00,23.59,Olympia,973,990,1963,1.5,5.3,0,100,0.2
2024.11.12,00:00,23.59,Olympia,1000,1030,2030,1.7,4.1,0,100,0
2024.11.13,00:00,23.59,Olympia,952,944,1896,0.5,2.2,0.6,98,0
2024.11.14,00:00,23.59,Olympia,1109,1101,2210,0.9,6.6,0.3,86,4.2
2024.11.15,00:00,23.59,Olympia,1039,1069,2108,0.3,6.9,0,79,0.1
2024.11.16,00:00,23.59,Olympia,769,796,1565,-1.4,11.1,0,25,8.9
2024.11.17,00:00,23.59,Olympia,550,568,1118,-1.2,9.7,4.5,91,3.8
2024.11.18,00:00,23.59,Olympia,918,928,1846,3.8,9.9,0.8,93,2.7
2024.11.19,00:00,23.59,Olympia,942,967,1909,6.5,12.5,12.9,98,1
2024.11.20,00:00,23.59,Olympia,729,763,1492,0.4,9.7,2.3,75,5
2024.11.21,00:00,23.59,Olympia,850,838,1688,-1.2,3.7,6.3,95,1.2
2024.11.22,00:00,23.59,Olympia,393,407,800,-2.2,1.4,0.2,78,5.5
2024.11.23,00:00,23.59,Olympia,403,380,783,0.7,6.3,0,93,5.6
2024.11.24,00:00,23.59,Olympia,530,532,1062,3.1,15.4,0.1,84,4.7
2024.11.25,00:00,23.59,Olympia,1125,1127,2252,2,16.5,2.3,36,8.2
2024.11.26,00:00,23.59,Olympia,1033,1037,2070,5.5,11.2,0,88,2.4
2024.11.27,00:00,23.59,Olympia,1031,1083,2114,3.2,12.2,3.8,83,4.8
2024.11.28,00:00,23.59,Olympia,759,753,1512,3.7,11.7,5.5,95,0
2024.11.29,00:00,23.59,Olympia,763,834,1597,-0.2,6.2,0,58,2.3
2024.11.30,00:00,23.59,Olympia,580,555,1135,-2,5.5,0,10,6.7
2024.11.01,00:00,23.59,Hirsch,456,439,895,5.8,17,0.1,54,7.5
2024.11.02,00:00,23.59,Hirsch,279,323,602,5.7,9.1,0.1,99,0
2024.11.03,00:00,23.59,Hirsch,259,258,517,7.1,8.7,0,100,0
2024.11.04,00:00,23.59,Hirsch,1021,1081,2102,3.9,9.2,0,88,1.3
2024.11.05,00:00,23.59,Hirsch,1117,1180,2297,3.2,10.8,0,100,3.8
2024.11.06,00:00,23.59,Hirsch,1012,1098,2110,2.7,8.6,0.1,83,2.9
2024.11.07,00:00,23.59,Hirsch,998,1049,2047,5.4,7.2,0.1,100,0
2024.11.08,00:00,23.59,Hirsch,758,798,1556,3.8,6,0,100,0
2024.11.09,00:00,23.59,Hirsch,409,406,815,3.3,7.5,0,99,2.1
2024.11.10,00:00,23.59,Hirsch,265,252,517,2.5,5.1,0,100,0
2024.11.11,00:00,23.59,Hirsch,869,926,1795,1.5,5.3,0,100,0.2
2024.11.12,00:00,23.59,Hirsch,946,979,1925,1.7,4.1,0,100,0
2024.11.13,00:00,23.59,Hirsch,825,845,1670,0.5,2.2,0.6,98,0
2024.11.14,00:00,23.59,Hirsch,820,841,1661,0.9,6.6,0.3,86,4.2
2024.11.15,00:00,23.59,Hirsch,700,729,1429,0.3,6.9,0,79,0.1
2024.11.16,00:00,23.59,Hirsch,434,448,882,-1.4,11.1,0,25,8.9
2024.11.17,00:00,23.59,Hirsch,293,284,577,-1.2,9.7,4.5,91,3.8
2024.11.18,00:00,23.59,Hirsch,759,783,1542,3.8,9.9,0.8,93,2.7
2024.11.19,00:00,23.59,Hirsch,698,743,1441,6.5,12.5,12.9,98,1
2024.11.20,00:00,23.59,Hirsch,490,516,1006,0.4,9.7,2.3,75,5
2024.11.21,00:00,23.59,Hirsch,606,654,1260,-1.2,3.7,6.3,95,1.2
2024.11.22,00:00,23.59,Hirsch,226,243,469,-2.2,1.4,0.2,78,5.5
2024.11.23,00:00,23.59,Hirsch,164,170,334,0.7,6.3,0,93,5.6
2024.11.24,00:00,23.59,Hirsch,270,279,549,3.1,15.4,0.1,84,4.7
2024.11.25,00:00,23.59,Hirsch,989,1012,2001,2,16.5,2.3,36,8.2
2024.11.26,00:00,23.59,Hirsch,861,932,1793,5.5,11.2,0,88,2.4
2024.11.27,00:00,23.59,Hirsch,923,956,1879,3.2,12.2,3.8,83,4.8
2024.11.28,00:00,23.59,Hirsch,503,517,1020,3.7,11.7,5.5,95,0
2024.11.29,00:00,23.59,Hirsch,636,686,1322,-0.2,6.2,0,58,2.3
2024.11.30,00:00,23.59,Hirsch,303,319,622,-2,5.5,0,10,6.7
2024.11.26,00:00,23.59,Erhardt,2688,2543,5231,5.5,11.2,0,88,2.4
2024.11.27,00:00,23.59,Erhardt,2631,2758,5389,3.2,12.2,3.8,83,4.8
2024.11.28,00:00,23.59,Erhardt,1310,1371,2681,3.7,11.7,5.5,95,0
2024.11.29,00:00,23.59,Erhardt,1691,1721,3412,-0.2,6.2,0,58,2.3
2024.11.30,00:00,23.59,Erhardt,1094,1067,2161,-2,5.5,0,10,6.7
2024.12.01,00:00,23.59,Arnulf,422,57,479,-3.3,-0.1,0,95,0.2
2024.12.02,00:00,23.59,Arnulf,945,63,1008,-3.5,7.3,5.9,88,0.5
2024.12.03,00:00,23.59,Arnulf,897,64,961,3.5,7.3,2.5,90,2.5
2024.12.04,00:00,23.59,Arnulf,1002,70,1072,-0.1,3.7,0,89,0
2024.12.05,00:00,23.59,Arnulf,1011,88,1099,-1.2,5.1,2.9,68,6.5
2024.12.06,00:00,23.59,Arnulf,549,46,595,3.5,8.8,4.9,95,0.4
2024.12.07,00:00,23.59,Arnulf,356,32,388,2,7.2,2.4,98,0.5
2024.12.08,00:00,23.59,Arnulf,308,36,344,2.6,6.3,6.1,95,0.7
2024.12.09,00:00,23.59,Arnulf,721,59,780,0.2,3,3.6,96,0
2024.12.10,00:00,23.59,Arnulf,857,65,922,0.3,2.3,0.1,96,0
2024.12.11,00:00,23.59,Arnulf,968,84,1052,1.2,2.5,0,99,0
2024.12.12,00:00,23.59,Arnulf,962,78,1040,0.3,2.1,0,100,0
2024.12.13,00:00,23.59,Arnulf,773,62,835,-0.7,1.2,0,100,0
2024.12.14,00:00,23.59,Arnulf,405,29,434,-1.3,4.4,0,100,0
2024.12.15,00:00,23.59,Arnulf,353,38,391,1.6,5.2,0.2,91,2.3
2024.12.16,00:00,23.59,Arnulf,984,70,1054,4.8,11.8,0,54,3.8
2024.12.17,00:00,23.59,Arnulf,1151,88,1239,2.2,8.8,0,90,5.1
2024.12.18,00:00,23.59,Arnulf,1179,87,1266,2.3,12.6,0,99,1.2
2024.12.19,00:00,23.59,Arnulf,997,80,1077,3.2,12.6,4.7,93,0.2
2024.12.20,00:00,23.59,Arnulf,671,55,726,0.8,3.3,0.4,88,0
2024.12.21,00:00,23.59,Arnulf,417,40,457,0.1,6.9,5,71,3.5
2024.12.22,00:00,23.59,Arnulf,149,22,171,0,6.5,12.8,80,0.6
2024.12.23,00:00,23.59,Arnulf,363,27,390,0.1,3.1,1,91,3.3
2024.12.24,00:00,23.59,Arnulf,169,22,191,-1.1,2.4,0.1,91,0
2024.12.25,00:00,23.59,Arnulf,147,17,164,-2.9,4.6,0,14,8
2024.12.26,00:00,23.59,Arnulf,147,14,161,-4.4,-0.4,0,81,2.2
2024.12.27,00:00,23.59,Arnulf,301,36,337,-5,-2.1,0,96,0
2024.12.28,00:00,23.59,Arnulf,265,23,288,-4.2,2,0,43,6.2
2024.12.29,00:00,23.59,Arnulf,245,32,277,-5.1,5.9,0,14,8.1
2024.12.30,00:00,23.59,Arnulf,338,30,368,-3.8,-1.7,0,100,0.1
2024.12.31,00:00,23.59,Arnulf,211,28,239,-4.3,2.9,0,49,6.9
2024.12.01,00:00,23.59,Olympia,467,421,888,-3.3,-0.1,0,95,0.2
2024.12.02,00:00,23.59,Olympia,812,836,1648,-3.5,7.3,5.9,88,0.5
2024.12.03,00:00,23.59,Olympia,994,986,1980,3.5,7.3,2.5,90,2.5
2024.12.04,00:00,23.59,Olympia,774,818,1592,-0.1,3.7,0,89,0
2024.12.05,00:00,23.59,Olympia,914,873,1787,-1.2,5.1,2.9,68,6.5
2024.12.06,00:00,23.59,Olympia,502,513,1015,3.5,8.8,4.9,95,0.4
2024.12.07,00:00,23.59,Olympia,502,431,933,2,7.2,2.4,98,0.5
2024.12.08,00:00,23.59,Olympia,479,426,905,2.6,6.3,6.1,95,0.7
2024.12.09,00:00,23.59,Olympia,640,652,1292,0.2,3,3.6,96,0
2024.12.10,00:00,23.59,Olympia,742,730,1472,0.3,2.3,0.1,96,0
2024.12.11,00:00,23.59,Olympia,790,794,1584,1.2,2.5,0,99,0
2024.12.12,00:00,23.59,Olympia,887,841,1728,0.3,2.1,0,100,0
2024.12.13,00:00,23.59,Olympia,673,680,1353,-0.7,1.2,0,100,0
2024.12.14,00:00,23.59,Olympia,478,432,910,-1.3,4.4,0,100,0
2024.12.15,00:00,23.59,Olympia,562,516,1078,1.6,5.2,0.2,91,2.3
2024.12.16,00:00,23.59,Olympia,905,901,1806,4.8,11.8,0,54,3.8
2024.12.17,00:00,23.59,Olympia,956,955,1911,2.2,8.8,0,90,5.1
2024.12.18,00:00,23.59,Olympia,946,959,1905,2.3,12.6,0,99,1.2
2024.12.19,00:00,23.59,Olympia,823,861,1684,3.2,12.6,4.7,93,0.2
2024.12.20,00:00,23.59,Olympia,576,568,1144,0.8,3.3,0.4,88,0
2024.12.21,00:00,23.59,Olympia,474,481,955,0.1,6.9,5,71,3.5
2024.12.22,00:00,23.59,Olympia,198,165,363,0,6.5,12.8,80,0.6
2024.12.23,00:00,23.59,Olympia,297,266,563,0.1,3.1,1,91,3.3
2024.12.24,00:00,23.59,Olympia,132,115,247,-1.1,2.4,0.1,91,0
2024.12.25,00:00,23.59,Olympia,217,201,418,-2.9,4.6,0,14,8
2024.12.26,00:00,23.59,Olympia,167,139,306,-4.4,-0.4,0,81,2.2
2024.12.27,00:00,23.59,Olympia,202,221,423,-5,-2.1,0,96,0
2024.12.28,00:00,23.59,Olympia,260,257,517,-4.2,2,0,43,6.2
2024.12.29,00:00,23.59,Olympia,358,300,658,-5.1,5.9,0,14,8.1
2024.12.30,00:00,23.59,Olympia,280,257,537,-3.8,-1.7,0,100,0.1
2024.12.31,00:00,23.59,Olympia,370,308,678,-4.3,2.9,0,49,6.9
2024.12.01,00:00,23.59,Hirsch,173,163,336,-3.3,-0.1,0,95,0.2
2024.12.02,00:00,23.59,Hirsch,725,753,1478,-3.5,7.3,5.9,88,0.5
2024.12.03,00:00,23.59,Hirsch,664,680,1344,3.5,7.3,2.5,90,2.5
2024.12.04,00:00,23.59,Hirsch,702,736,1438,-0.1,3.7,0,89,0
2024.12.05,00:00,23.59,Hirsch,711,767,1478,-1.2,5.1,2.9,68,6.5
2024.12.06,00:00,23.59,Hirsch,361,401,762,3.5,8.8,4.9,95,0.4
2024.12.07,00:00,23.59,Hirsch,192,179,371,2,7.2,2.4,98,0.5
2024.12.08,00:00,23.59,Hirsch,197,201,398,2.6,6.3,6.1,95,0.7
2024.12.09,00:00,23.59,Hirsch,548,564,1112,0.2,3,3.6,96,0
2024.12.10,00:00,23.59,Hirsch,627,661,1288,0.3,2.3,0.1,96,0
2024.12.11,00:00,23.59,Hirsch,705,724,1429,1.2,2.5,0,99,0
2024.12.12,00:00,23.59,Hirsch,643,691,1334,0.3,2.1,0,100,0
2024.12.13,00:00,23.59,Hirsch,535,551,1086,-0.7,1.2,0,100,0
2024.12.14,00:00,23.59,Hirsch,227,236,463,-1.3,4.4,0,100,0
2024.12.15,00:00,23.59,Hirsch,206,182,388,1.6,5.2,0.2,91,2.3
2024.12.16,00:00,23.59,Hirsch,773,799,1572,4.8,11.8,0,54,3.8
2024.12.17,00:00,23.59,Hirsch,935,926,1861,2.2,8.8,0,90,5.1
2024.12.18,00:00,23.59,Hirsch,831,846,1677,2.3,12.6,0,99,1.2
2024.12.19,00:00,23.59,Hirsch,686,746,1432,3.2,12.6,4.7,93,0.2
2024.12.20,00:00,23.59,Hirsch,416,452,868,0.8,3.3,0.4,88,0
2024.12.21,00:00,23.59,Hirsch,231,243,474,0.1,6.9,5,71,3.5
2024.12.22,00:00,23.59,Hirsch,51,67,118,0,6.5,12.8,80,0.6
2024.12.23,00:00,23.59,Hirsch,200,198,398,0.1,3.1,1,91,3.3
2024.12.24,00:00,23.59,Hirsch,82,65,147,-1.1,2.4,0.1,91,0
2024.12.25,00:00,23.59,Hirsch,96,82,178,-2.9,4.6,0,14,8
2024.12.26,00:00,23.59,Hirsch,81,71,152,-4.4,-0.4,0,81,2.2
2024.12.27,00:00,23.59,Hirsch,155,163,318,-5,-2.1,0,96,0
2024.12.28,00:00,23.59,Hirsch,145,132,277,-4.2,2,0,43,6.2
2024.12.29,00:00,23.59,Hirsch,125,127,252,-5.1,5.9,0,14,8.1
2024.12.30,00:00,23.59,Hirsch,173,179,352,-3.8,-1.7,0,100,0.1
2024.12.31,00:00,23.59,Hirsch,135,134,269,-4.3,2.9,0,49,6.9
2024.12.01,00:00,23.59,Erhardt,806,794,1600,-3.3,-0.1,0,95,0.2
2024.12.02,00:00,23.59,Erhardt,1726,1785,3511,-3.5,7.3,5.9,88,0.5
2024.12.03,00:00,23.59,Erhardt,1590,1609,3199,3.5,7.3,2.5,90,2.5
2024.12.04,00:00,23.59,Erhardt,1779,1720,3499,-0.1,3.7,0,89,0
2024.12.05,00:00,23.59,Erhardt,1860,1991,3851,-1.2,5.1,2.9,68,6.5
2024.12.06,00:00,23.59,Erhardt,1010,1110,2120,3.5,8.8,4.9,95,0.4
2024.12.07,00:00,23.59,Erhardt,724,748,1472,2,7.2,2.4,98,0.5
2024.12.08,00:00,23.59,Erhardt,659,673,1332,2.6,6.3,6.1,95,0.7
2024.12.09,00:00,23.59,Erhardt,1153,1435,2588,0.2,3,3.6,96,0
2024.12.10,00:00,23.59,Erhardt,1353,1728,3081,0.3,2.3,0.1,96,0
2024.12.11,00:00,23.59,Erhardt,1576,1840,3416,1.2,2.5,0,99,0
2024.12.12,00:00,23.59,Erhardt,1535,1880,3415,0.3,2.1,0,100,0
2024.12.13,00:00,23.59,Erhardt,1324,1490,2814,-0.7,1.2,0,100,0
2024.12.14,00:00,23.59,Erhardt,750,861,1611,-1.3,4.4,0,100,0
2024.12.15,00:00,23.59,Erhardt,675,784,1459,1.6,5.2,0.2,91,2.3
2024.12.16,00:00,23.59,Erhardt,1652,1874,3526,4.8,11.8,0,54,3.8
2024.12.17,00:00,23.59,Erhardt,1907,2174,4081,2.2,8.8,0,90,5.1
2024.12.18,00:00,23.59,Erhardt,1957,2126,4083,2.3,12.6,0,99,1.2
2024.12.19,00:00,23.59,Erhardt,1691,1617,3308,3.2,12.6,4.7,93,0.2
2024.12.20,00:00,23.59,Erhardt,1208,1144,2352,0.8,3.3,0.4,88,0
2024.12.21,00:00,23.59,Erhardt,840,807,1647,0.1,6.9,5,71,3.5
2024.12.22,00:00,23.59,Erhardt,232,247,479,0,6.5,12.8,80,0.6
2024.12.23,00:00,23.59,Erhardt,521,546,1067,0.1,3.1,1,91,3.3
2024.12.24,00:00,23.59,Erhardt,204,232,436,-1.1,2.4,0.1,91,0
2024.12.25,00:00,23.59,Erhardt,254,268,522,-2.9,4.6,0,14,8
2024.12.26,00:00,23.59,Erhardt,232,277,509,-4.4,-0.4,0,81,2.2
2024.12.27,00:00,23.59,Erhardt,452,436,888,-5,-2.1,0,96,0
2024.12.28,00:00,23.59,Erhardt,417,434,851,-4.2,2,0,43,6.2
2024.12.29,00:00,23.59,Erhardt,519,498,1017,-5.1,5.9,0,14,8.1
2024.12.30,00:00,23.59,Erhardt,534,458,992,-3.8,-1.7,0,100,0.1
2024.12.31,00:00,23.59,Erhardt,442,438,880,-4.3,2.9,0,49,6.9
